first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased,weekly_first_dose,weekly_second_dose,weekly_third_dose,weekly_fourth_dose
12/04/2020,18/04/2020,55-59,נקבה,2025,53,0,,,,
12/04/2020,18/04/2020,60-64,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,60-64,זכר,1506,40,7,,,,
12/04/2020,18/04/2020,60-64,נקבה,1724,46,0,,,,
12/04/2020,18/04/2020,65-69,נקבה,1293,32,0,,,,
12/04/2020,18/04/2020,65-69,זכר,1180,42,7,,,,
12/04/2020,18/04/2020,65-69,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,70-74,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,70-74,זכר,1086,28,7,,,,
12/04/2020,18/04/2020,70-74,נקבה,1277,37,7,,,,
12/04/2020,18/04/2020,75-79,זכר,798,19,7,,,,
12/04/2020,18/04/2020,75-79,נקבה,1063,26,7,,,,
12/04/2020,18/04/2020,75-79,לא ידוע,7,0,0,,,,
12/04/2020,18/04/2020,80+,זכר,2459,43,18,,,,
12/04/2020,18/04/2020,80+,נקבה,5755,79,26,,,,
12/04/2020,18/04/2020,80+,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,0-19,זכר,6089,365,0,,,,
19/04/2020,25/04/2020,0-19,לא ידוע,83,7,0,,,,
19/04/2020,25/04/2020,0-19,נקבה,4720,314,0,,,,
19/04/2020,25/04/2020,20-24,זכר,3770,102,0,,,,
19/04/2020,25/04/2020,20-24,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,20-24,נקבה,3257,116,0,,,,
19/04/2020,25/04/2020,25-29,זכר,3387,73,0,,,,
19/04/2020,25/04/2020,25-29,נקבה,3358,76,7,,,,
19/04/2020,25/04/2020,25-29,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,30-34,זכר,3026,50,0,,,,
19/04/2020,25/04/2020,30-34,נקבה,2920,48,0,,,,
19/04/2020,25/04/2020,30-34,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,35-39,זכר,2466,37,0,,,,
19/04/2020,25/04/2020,35-39,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,35-39,נקבה,2611,39,0,,,,
19/04/2020,25/04/2020,40-44,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,40-44,נקבה,2449,49,0,,,,
19/04/2020,25/04/2020,40-44,זכר,2259,38,0,,,,
19/04/2020,25/04/2020,45-49,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,45-49,נקבה,2598,56,0,,,,
19/04/2020,25/04/2020,45-49,זכר,2079,45,7,,,,
19/04/2020,25/04/2020,50-54,זכר,1718,35,0,,,,
19/04/2020,25/04/2020,50-54,נקבה,2439,36,7,,,,
19/04/2020,25/04/2020,50-54,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,55-59,זכר,1628,25,7,,,,
19/04/2020,25/04/2020,55-59,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,55-59,נקבה,2230,40,7,,,,
19/04/2020,25/04/2020,60-64,לא ידוע,7,0,0,,,,
19/04/2020,25/04/2020,60-64,זכר,1498,16,7,,,,
19/04/2020,25/04/2020,60-64,נקבה,1899,20,0,,,,
19/04/2020,25/04/2020,65-69,נקבה,1492,16,0,,,,
19/04/2020,25/04/2020,65-69,זכר,1386,16,7,,,,
19/04/2020,25/04/2020,65-69,לא ידוע,7,0,0,,,,
